t,pos,vel,acc,robot
2.93,-0.10634208,-1.073873379,-1.692826844,-0.184602851
2.94,-0.11716357,-1.090424745,-1.65513658,-0.183254626
2.95,-0.128148581,-1.106577458,-1.61527133,-0.181834651
2.96,-0.139293016,-1.122309557,-1.573209817,-0.180342299
2.97,-0.150592559,-1.137598893,-1.528933643,-0.17877698
2.98,-0.162042669,-1.152423168,-1.482427509,-0.177138146
2.99,-0.173638585,-1.166759962,-1.433679435,-0.175425287
3,-0.185375318,-1.180586772,-1.382680973,-0.173637938
3.01,-0.197247657,-1.193881046,-1.329427429,-0.171775675
3.02,-0.209250164,-1.206620227,-1.27391807,-0.169838122
3.03,-0.221377174,-1.21878179,-1.216156326,-0.167824946
3.04,-0.233622799,-1.23034329,-1.15614999,-0.165735864
3.05,-0.245980928,-1.241282404,-1.093911397,-0.16357064
3.06,-0.258445225,-1.25157698,-1.029457603,-0.161329089
3.07,-0.271009135,-1.261205086,-0.962810542,-0.159011076
3.08,-0.283665886,-1.270145057,-0.893997165,-0.156616519
3.09,-0.296408495,-1.278376847,-0.823178974,-0.154150097
3.1,-0.309229836,-1.285891312,-0.751446501,-0.151650097
3.11,-0.322122738,-1.292688998,-0.679768568,-0.149150097
3.12,-0.335080037,-1.298770933,-0.608193481,-0.146650097
3.13,-0.348094585,-1.304138634,-0.53677017,-0.144150097
3.14,-0.361159249,-1.308794115,-0.465548042,-0.141650097
3.15,-0.374266919,-1.312739883,-0.39457682,-0.139150097
3.16,-0.387410513,-1.315978947,-0.323906387,-0.136650097
3.17,-0.400582982,-1.318514813,-0.253586623,-0.134150097
3.18,-0.413777313,-1.320351486,-0.183667249,-0.131650097
3.19,-0.426986538,-1.321493462,-0.114197662,-0.129150097
3.2,-0.440203734,-1.32194573,-0.045226777,-0.126650097
3.21,-0.453422031,-1.321713759,0.023197132,-0.124150097
3.22,-0.466634618,-1.320803493,0.091026588,-0.121650097
3.23,-0.479834742,-1.319221342,0.158215065,-0.119150097
3.24,-0.493015719,-1.316974171,0.224717136,-0.116650097
3.25,-0.506170937,-1.314069284,0.290488622,-0.114150097
3.26,-0.519293855,-1.310514417,0.355486728,-0.111650097
3.27,-0.532378016,-1.306317715,0.419670182,-0.109150097
3.28,-0.545417043,-1.301487722,0.482999361,-0.106650097
3.29,-0.558404648,-1.296033358,0.545436415,-0.104150097
3.3,-0.571334635,-1.289963904,0.606945381,-0.101650097
3.31,-0.584200899,-1.283288981,0.667492295,-0.099150097
3.32,-0.596997437,-1.276018528,0.727045286,-0.096650097
3.33,-0.609718343,-1.268162781,0.785574673,-0.094150097
3.34,-0.622357818,-1.259732251,0.843053048,-0.091650097
3.35,-0.634910168,-1.250737697,0.89945535,-0.089150097
3.36,-0.647369807,-1.241190108,0.954758933,-0.086650097
3.37,-0.659731261,-1.231100672,1.008943624,-0.084150097
3.38,-0.671989168,-1.220480754,1.061991775,-0.081650097
3.39,-0.684138281,-1.209341871,1.113888297,-0.079150097
3.4,-0.696173469,-1.197695664,1.1646207,-0.076650097
3.41,-0.708089717,-1.185553873,1.214179113,-0.074150097
3.42,-0.719882128,-1.17292831,1.262556299,-0.071650097
3.43,-0.731545923,-1.159830833,1.309747665,-0.069150097
3.44,-0.743076444,-1.146273321,1.355751259,-0.066650097
3.45,-0.754469149,-1.132267643,1.400567763,-0.064150097
3.46,-0.765719615,-1.117825638,1.444200481,-0.061650097
3.47,-0.776823539,-1.102959085,1.486655312,-0.059150097
3.48,-0.787776733,-1.087679678,1.527940724,-0.056650097
3.49,-0.798575126,-1.071999001,1.568067722,-0.054150097
3.5,-0.809214764,-1.055928503,1.607049803,-0.051650097
3.51,-0.819691803,-1.039479473,1.644902916,-0.049150097
3.52,-0.830002516,-1.022663019,1.681645409,-0.046650097
3.53,-0.840143281,-1.00549004,1.717297975,-0.044150097
3.54,-0.850110587,-0.987971204,1.751883595,-0.041650097
3.55,-0.859901028,-0.970116929,1.785427477,-0.039150097
3.56,-0.8695113,-0.951937359,1.817956989,-0.036650097
3.57,-0.878938198,-0.933442343,1.849501595,-0.034150097
3.58,-0.888178617,-0.914641415,1.880092785,-0.031650097
3.59,-0.897229543,-0.895543775,1.909764006,-0.029150097
3.6,-0.906088053,-0.876158269,1.938550585,-0.026650097
3.61,-0.914751311,-0.856493373,1.966489667,-0.024150097
3.62,-0.923216564,-0.836557171,1.99362013,-0.021650097
3.63,-0.931481137,-0.816357346,2.019982523,-0.019150097
3.64,-0.939542429,-0.795901156,2.045618986,-0.016650097
3.65,-0.947397912,-0.775195424,2.070573183,-0.014150097
3.66,-0.955045122,-0.754246522,2.094890227,-0.011650097
3.67,-0.962481656,-0.733060356,2.118616614,-0.009150097
3.68,-0.96970517,-0.711642354,2.141800156,-0.006650097
3.69,-0.976713369,-0.689997455,2.164489909,-0.004150097
3.7,-0.983504006,-0.668130094,2.186736115,-0.001650097
3.71,-0.990074878,-0.646044193,2.208590136,0.000849903
3.72,-0.996423815,-0.623743149,2.230104396,0.003349903
3.73,-1.002548679,-0.601229826,2.251332323,0.005849903
3.74,-1.008447361,-0.578506543,2.272328294,0.008349903
3.75,-1.014117769,-0.555575067,2.293147586,0.010849903
3.76,-1.019557828,-0.532436604,2.313846321,0.013349903
3.77,-1.02476547,-0.509091789,2.334481425,0.015849903
3.78,-1.029738632,-0.485540684,2.355110582,0.018349903
